case_id	phase	component	cut	prefix_parity_map_blocks_accepted	prefix_parity_map_filemark_accepted	prefix_media_barrier_proved	prefix_sink_journal	prefix_sink_checkpoint	component_block_streams_accepted	component_filemark_commands_accepted	component_media_barriers_proved	sink_journal_components	checkpoint_components	sqlite_components	sealed_checkpoint	intent_present	final_sqlite	expected_checkpoint_progress	expected_completed_replicas	expected_resume
separation_bc-before_checkpoint_journal_fsync	component	separation_bc	before_checkpoint_journal_fsync	1	1	1	1	1	4	4	4	4	3	3	0	1	0	AfterReplicaB	2	promote-sink-transition
separation_bc-after_checkpoint_journal_fsync	component	separation_bc	after_checkpoint_journal_fsync	1	1	1	1	1	4	4	4	4	4	3	0	1	0	AfterSeparationBc	2	repair-sqlite-then-continue
separation_bc-before_sqlite_projection	component	separation_bc	before_sqlite_projection	1	1	1	1	1	4	4	4	4	4	3	0	1	0	AfterSeparationBc	2	repair-sqlite-then-continue
separation_bc-after_sqlite_projection	component	separation_bc	after_sqlite_projection	1	1	1	1	1	4	4	4	4	4	4	0	1	0	AfterSeparationBc	2	continue
replica_c-before_footer	component	replica_c	before_footer	1	1	1	1	1	4	4	4	4	4	4	0	1	0	AfterSeparationBc	2	reconcile-current
replica_c-after_footer	component	replica_c	after_footer	1	1	1	1	1	5	4	4	4	4	4	0	1	0	AfterSeparationBc	2	reconcile-current
replica_c-before_filemark	component	replica_c	before_filemark	1	1	1	1	1	5	4	4	4	4	4	0	1	0	AfterSeparationBc	2	reconcile-current
replica_c-after_filemark	component	replica_c	after_filemark	1	1	1	1	1	5	5	4	4	4	4	0	1	0	AfterSeparationBc	2	reconcile-current
replica_c-before_barrier	component	replica_c	before_barrier	1	1	1	1	1	5	5	4	4	4	4	0	1	0	AfterSeparationBc	2	reconcile-current
replica_c-after_barrier	component	replica_c	after_barrier	1	1	1	1	1	5	5	5	4	4	4	0	1	0	AfterSeparationBc	2	reconcile-current
replica_c-before_parity_journal_fsync	component	replica_c	before_parity_journal_fsync	1	1	1	1	1	5	5	5	4	4	4	0	1	0	AfterSeparationBc	2	reconcile-current
replica_c-after_parity_journal_fsync	component	replica_c	after_parity_journal_fsync	1	1	1	1	1	5	5	5	5	4	4	0	1	0	AfterSeparationBc	2	promote-sink-transition
replica_c-before_checkpoint_journal_fsync	component	replica_c	before_checkpoint_journal_fsync	1	1	1	1	1	5	5	5	5	4	4	0	1	0	AfterSeparationBc	2	promote-sink-transition
replica_c-after_checkpoint_journal_fsync	component	replica_c	after_checkpoint_journal_fsync	1	1	1	1	1	5	5	5	5	5	4	0	1	0	AfterReplicaC	3	repair-sqlite-then-finish-final-projection
replica_c-before_sqlite_projection	component	replica_c	before_sqlite_projection	1	1	1	1	1	5	5	5	5	5	4	0	1	0	AfterReplicaC	3	repair-sqlite-then-finish-final-projection
replica_c-after_sqlite_projection	component	replica_c	after_sqlite_projection	1	1	1	1	1	5	5	5	5	5	5	0	1	0	AfterReplicaC	3	finish-final-projection
final_projection-before_final_checkpoint_fsync	final_projection	final_projection	before_final_checkpoint_fsync	1	1	1	1	1	5	5	5	5	5	5	0	1	0	AfterReplicaC	3	finish-final-projection
final_projection-after_final_checkpoint_fsync	final_projection	final_projection	after_final_checkpoint_fsync	1	1	1	1	1	5	5	5	5	5	5	1	1	0	AfterReplicaC	3	replay-sealed-completion
final_projection-before_final_sqlite_projection	final_projection	final_projection	before_final_sqlite_projection	1	1	1	1	1	5	5	5	5	5	5	1	0	0	AfterReplicaC	3	replay-sealed-completion
final_projection-after_final_sqlite_projection	final_projection	final_projection	after_final_sqlite_projection	1	1	1	1	1	5	5	5	5	5	5	1	0	1	AfterReplicaC	3	none
