profile	block_size	structural_rows	object_rows	replica_records	gap_records	expected_eod_lba	component	bytes	sha256	edition_digest	layout_digest	payload_sha256	canonical_map_sha256
minimal-512k	524288	1	0	3	3	22	replica-a.bin	1572864	ccade4aae10c1b938c5120ccd00538f495e1eb18565a7eb3527ae88954a31e2e	cddcc790006965dfd543485dfe1c5a19a17adaa75be2418e434d2b87dd4671bc	a5276404df40209af8c84996efabf8881dca871fcb6a15230b0e329eb67d9ce1	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-512k	524288	1	0	3	3	22	replica-b.bin	1572864	7d6ddb8427a67ad3c39529a595e258857f6ea64b13dda171ede56ab3a0a48d9a	cddcc790006965dfd543485dfe1c5a19a17adaa75be2418e434d2b87dd4671bc	a5276404df40209af8c84996efabf8881dca871fcb6a15230b0e329eb67d9ce1	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-512k	524288	1	0	3	3	22	replica-c.bin	1572864	9942d79df4c29c6afc1a87cdfeb0e8834218d81a21fb037297dc25527f973aa6	cddcc790006965dfd543485dfe1c5a19a17adaa75be2418e434d2b87dd4671bc	a5276404df40209af8c84996efabf8881dca871fcb6a15230b0e329eb67d9ce1	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-512k	524288	1	0	3	3	22	gap-ab.bin	1572864	2c13c2977e0294745c40f2cf5d287b763c1d3a62dba64b74be98a8d7e60f3856	cddcc790006965dfd543485dfe1c5a19a17adaa75be2418e434d2b87dd4671bc	a5276404df40209af8c84996efabf8881dca871fcb6a15230b0e329eb67d9ce1	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-512k	524288	1	0	3	3	22	gap-bc.bin	1572864	8926761b1ecda13bf865e8c22d14a060a16fc779a147cd2e4aa89139eaa37107	cddcc790006965dfd543485dfe1c5a19a17adaa75be2418e434d2b87dd4671bc	a5276404df40209af8c84996efabf8881dca871fcb6a15230b0e329eb67d9ce1	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
multi-512k	524288	6	2	3	3	45	replica-a.bin	1572864	60eb1b09bd0f4bca88a15111501d6e26858f2246aa0812b78ee447da3a60346f	4ef5e64f558ee6d46760bfc202e500f2c16ca289c25ebfe1628720ed4ca1639b	76eccb0077ab2ade5a1b40b710f602df51694696a1cb890eb76fabab85738765	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-512k	524288	6	2	3	3	45	replica-b.bin	1572864	7cd39cfc9f6e56d642cc78c0dfdfb76c5110a1cb1faa9f931bfcc1c11c198c01	4ef5e64f558ee6d46760bfc202e500f2c16ca289c25ebfe1628720ed4ca1639b	76eccb0077ab2ade5a1b40b710f602df51694696a1cb890eb76fabab85738765	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-512k	524288	6	2	3	3	45	replica-c.bin	1572864	ff4db83dd5dbf6de33de3b084c3fcef2c402ff79cee33bb780f9b47ad77cb011	4ef5e64f558ee6d46760bfc202e500f2c16ca289c25ebfe1628720ed4ca1639b	76eccb0077ab2ade5a1b40b710f602df51694696a1cb890eb76fabab85738765	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-512k	524288	6	2	3	3	45	gap-ab.bin	1572864	b358ba21388b8e1fad314138af502c99e7f09ce118a7d6975090444d9fc727b9	4ef5e64f558ee6d46760bfc202e500f2c16ca289c25ebfe1628720ed4ca1639b	76eccb0077ab2ade5a1b40b710f602df51694696a1cb890eb76fabab85738765	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-512k	524288	6	2	3	3	45	gap-bc.bin	1572864	6ea1777098f0da0715405528d2a152366d2b83aca31ab47dc30c0d57b855260f	4ef5e64f558ee6d46760bfc202e500f2c16ca289c25ebfe1628720ed4ca1639b	76eccb0077ab2ade5a1b40b710f602df51694696a1cb890eb76fabab85738765	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
minimal-1024k	1048576	1	0	3	3	22	replica-a.bin	3145728	40b3da8b1cefa74e269c141a7b345cfaf52691e347be5db9987de1284b6b0ead	a9eeb232193a3acdd9e66194384de51d8a877cad40956e48a0da2fa861ad02ba	9551007db462c59c35f360671a1a3a02df01a20be25ec8729454417d95b5dd03	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-1024k	1048576	1	0	3	3	22	replica-b.bin	3145728	1f388a1c75238e8553679c785aca693d627b53c53d82a6049f18fbaed398a30e	a9eeb232193a3acdd9e66194384de51d8a877cad40956e48a0da2fa861ad02ba	9551007db462c59c35f360671a1a3a02df01a20be25ec8729454417d95b5dd03	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-1024k	1048576	1	0	3	3	22	replica-c.bin	3145728	77495367fe02971a3541a6db3b9be86c1f5a207ebd7a8527702f904bd116fce8	a9eeb232193a3acdd9e66194384de51d8a877cad40956e48a0da2fa861ad02ba	9551007db462c59c35f360671a1a3a02df01a20be25ec8729454417d95b5dd03	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-1024k	1048576	1	0	3	3	22	gap-ab.bin	3145728	8690d5a3d162a4614b3b5e892fa19f9e64c404fb0abbe1c6c715426480bf4bda	a9eeb232193a3acdd9e66194384de51d8a877cad40956e48a0da2fa861ad02ba	9551007db462c59c35f360671a1a3a02df01a20be25ec8729454417d95b5dd03	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-1024k	1048576	1	0	3	3	22	gap-bc.bin	3145728	f00976b67cd3abde6b4aabe684434f44de68184e5c23e7d63d11a15711dc31a7	a9eeb232193a3acdd9e66194384de51d8a877cad40956e48a0da2fa861ad02ba	9551007db462c59c35f360671a1a3a02df01a20be25ec8729454417d95b5dd03	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
multi-1024k	1048576	6	2	3	3	45	replica-a.bin	3145728	153e17fde1d56b7c36aeb334b9d6187b52a741e416c6b823514884a303303fec	2455f2c40aa2c638469494dd1e7f3d85639ce300652c9b33e4daeac89f4e3337	943b872917bf83d8a8a1a9ac50edd323cccedf985f21f258d5d67fcd8b3fb6d8	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-1024k	1048576	6	2	3	3	45	replica-b.bin	3145728	62861e7b4a0e0d6ca305a6a15e5dbda4f70fff4e3d3dfd1768cb7cb452bd88a2	2455f2c40aa2c638469494dd1e7f3d85639ce300652c9b33e4daeac89f4e3337	943b872917bf83d8a8a1a9ac50edd323cccedf985f21f258d5d67fcd8b3fb6d8	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-1024k	1048576	6	2	3	3	45	replica-c.bin	3145728	f8e9f007c52ddcc9ea1591e5ff9393779d89ce7b751bf69eef0067d03b71aa37	2455f2c40aa2c638469494dd1e7f3d85639ce300652c9b33e4daeac89f4e3337	943b872917bf83d8a8a1a9ac50edd323cccedf985f21f258d5d67fcd8b3fb6d8	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-1024k	1048576	6	2	3	3	45	gap-ab.bin	3145728	17037106989fca77df6be5e98f46ab6a9b52fc793b87afd43ef4fde192979078	2455f2c40aa2c638469494dd1e7f3d85639ce300652c9b33e4daeac89f4e3337	943b872917bf83d8a8a1a9ac50edd323cccedf985f21f258d5d67fcd8b3fb6d8	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-1024k	1048576	6	2	3	3	45	gap-bc.bin	3145728	4d74d8145c33d0bb7874c6787d0b4aeee81deff5bfc3c314ee3bda86b48c5653	2455f2c40aa2c638469494dd1e7f3d85639ce300652c9b33e4daeac89f4e3337	943b872917bf83d8a8a1a9ac50edd323cccedf985f21f258d5d67fcd8b3fb6d8	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
